recipe_id,recipe_name,moment,flavor
1,Mojito,Para todo momento,"Ácido, Dulce"
2,Rojito,Aperitivo,"Amargo, Ácido, Dulce"
3,Cynar Julep,Digestivo,"Amargo, Ácido, Dulce"
4,Pineral Julep,Aperitivo,"Amargo, Ácido, Dulce"
5,Hesperidina Julep,Aperitivo,"Amargo, Ácido, Dulce"
6,Cassis Julep,Aperitivo,"Dulce, Ácido"
7,Julep del Giardino,Para todo momento,"Dulce, Ácido"
8,Fierro en la espalda,Aperitivo,"Amargo, Ácido, Dulce"
9,Mint Julep,Digestivo,Dulce
10,Pimm's Julep,Aperitivo,"Amargo, Ácido, Dulce"
11,Jardín Violeta,Para todo momento,"Dulce, Ácido"
12,Mojito Malibú,Para todo momento,"Dulce, Ácido"
13,Rob Roy,Digestivo,"Amargo, Seco"
14,Dry Martini,Aperitivo,Seco
15,Claridge Cocktail,Aperitivo,"Dulce, Seco"
16,Hanky Panky,Aperitivo,"Amargo, Seco"
17,Mi-To,Aperitivo,"Amargo, Seco"
18,Negroni,Aperitivo,"Amargo, Seco"
19,Black Russian,Digestivo,Dulce
20,Aperol Spritz,Aperitivo,"Amargo, Dulce"
21,Americano,Aperitivo,"Amargo, Seco"
22,Negroni Sbagliato,Aperitivo,"Amargo, Seco"
23,Coloradito,Aperitivo,"Amargo, Seco"
24,Ferroviario,Digestivo,"Amargo, Seco"
25,Old Fashioned,Digestivo,"Amargo, Dulce"
26,Aviation,Para todo momento,"Dulce, Ácido"
27,Pisco Sour,Para todo momento,"Dulce, Ácido"
28,Daiquiri,Para todo momento,"Ácido, Dulce"
29,"Daiquiri ""Hemingway""",Para todo momento,"Dulce, Ácido"
30,Last Word,Para todo momento,"Amargo, Dulce, Ácido"
31,Playmate Martini,Digestivo,"Dulce, Ácido"
32,Tom Collins,Para todo momento,"Ácido, Dulce"
33,French 75,Aperitivo,"Ácido, Dulce"
34,Citro Caipiroska,Para todo momento,"Ácido, Dulce"
35,Bee's Knees,Para todo momento,"Dulce, Ácido"
36,Penicillin,Digestivo,"Dulce, Ácido"
37,Naked & Famous,Aperitivo,"Amargo, Dulce, Ácido"
38,Lucha de clases,Aperitivo,"Amargo, Dulce, Ácido"
39,Gin Basil Smash,Para todo momento,"Dulce, Ácido"
40,Ernest Happel,Para todo momento,"Dulce, Ácido"
41,Ron Smash,Para todo momento,"Dulce, Ácido"
42,The Broady,Digestivo,"Dulce, Ácido"
43,Cherry Brandy Sour,Para todo momento,"Dulce, Ácido"
44,Laburante,Aperitivo,"Amargo, Ácido, Dulce"
45,Margarita,Para todo momento,"Dulce, Ácido"
46,Caipirinha,Para todo momento,"Ácido, Dulce"
47,Daiquiri Frozen de Frutilla,Para todo momento,"Ácido, Dulce"
48,Straw Baileys Frozen,Digestivo,Dulce
49,Lemmon Champ,Aperitivo,"Dulce, Ácido"
50,The Coffee Latte Cocktail,Digestivo,Dulce
51,Limonada,Para todo momento,"Ácido, Dulce"
52,Jarra de Limonada,Para todo momento,"Ácido, Dulce"
53,Bloody Mary,Aperitivo,Ácido
54,Coctel Litoraleño,Aperitivo,"Amargo, Dulce, Ácido"
55,Limonada especiada,Para todo momento,"Dulce, Ácido"
56,Naranjada especiada,Para todo momento,"Dulce, Ácido"
57,Coctel Fisgona,Aperitivo,"Amargo, Dulce, Ácido"
58,Limonada exótica,Para todo momento,"Dulce, Ácido"
59,Special Latte,Digestivo,Dulce
60,Mix Cítrico,Para todo momento,"Dulce, Ácido"
61,Daiquiri Clásico,Para todo momento,"Ácido, Dulce"
62,Cynartini,Digestivo,"Amargo, Ácido, Dulce"
63,Ponche de Primavera Ruso,Para todo momento,"Dulce, Ácido"
64,De Milán a Padua,Aperitivo,"Amargo, Dulce, Ácido"
65,Espresso Ferroviario,Digestivo,"Amargo, Dulce"
66,Espresso Martini,Digestivo,Dulce
67,Última Palabra,Para todo momento,"Amargo, Dulce, Ácido"
68,El Turrón,Digestivo,Dulce
69,Amaretto Sour,Digestivo,"Dulce, Ácido"
70,Limoncello Chiara,Aperitivo,"Dulce, Ácido"
71,Negroni ahumado,Aperitivo,"Amargo, Seco"
72,Molino Orange,Digestivo,Dulce
73,Dry Martini Clásic,Aperitivo,Seco
74,Vesper Litoraleño,Aperitivo,Seco
75,La Madrina,Digestivo,Dulce
76,Amargo Obrero Julep,Aperitivo,"Amargo, Dulce, Ácido"
77,Pombero Julep,Aperitivo,"Amargo, Dulce, Ácido"
78,Pinn's Julep,Aperitivo,"Amargo, Dulce, Ácido"
79,Cynar Julep Clásico,Digestivo,"Amargo, Dulce, Ácido"
80,Cynar Julep (rediseño),Digestivo,"Amargo, Dulce, Ácido"
81,Margarita Evolution,Para todo momento,"Dulce, Ácido"
82,Rodilla de Abeja Clásica,Para todo momento,"Dulce, Ácido"
83,Coctel N°1,Digestivo,"Amargo, Ácido"
84,Special Latte,Digestivo,Dulce
85,Coctel Nº7,Digestivo,Dulce
86,Coctel Nº9,Para todo momento,Dulce
87,Mandarina Traicionera,Aperitivo,"Amargo, Dulce, Ácido"
88,Jardín Amargo,Aperitivo,"Amargo, Dulce, Ácido"
89,Menta Amarga,Digestivo,"Amargo, Dulce, Ácido"
90,Mojito Mentolado,Para todo momento,"Ácido, Dulce"
91,Palmetto,Digestivo,"Amargo, Dulce"
92,Boston Sour,Digestivo,"Ácido, Dulce"
93,Garibaldi,Aperitivo,"Amargo, Dulce, Ácido"
94,Gin Basil Smash,Para todo momento,"Dulce, Ácido"
95,Sex On The Beach,Para todo momento,"Dulce, Ácido"
96,John Collins,Para todo momento,"Dulce, Ácido"
97,Amaretto Sour by Morgenthaler,Digestivo,"Dulce, Ácido"
98,New York Sour,Digestivo,"Dulce, Ácido"
99,Whiskey Sour,Digestivo,"Ácido, Dulce"
100,Missionary's Downfall,Para todo momento,"Dulce, Ácido"
101,Sanguinello,Aperitivo,"Amargo, Dulce, Ácido"
102,Spiked Arnold,Para todo momento,"Dulce, Ácido"
103,Love me do,Para todo momento,"Dulce, Ácido"
104,South Beach,Aperitivo,"Amargo, Dulce, Ácido"
